"Date","Site.Name","COUNTY","meanlatitude","meanlongitude","Month","Day","PM2.5","Ozone"
2018-01-21,"Clemmons Middle","Forsyth",36.026,-80.342,1,21,48,NA
2018-01-21,"Durham Armory","Durham",36.0329550008979,-78.904037,1,21,44,NA
2018-01-21,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,21,53,36
2018-01-21,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,21,49,NA
2018-01-21,"Leggett","Edgecombe",35.988278,-77.5843,1,21,22,NA
2018-01-21,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,21,34,NA
2018-01-21,"Millbrook School","Wake",35.856111,-78.574167,1,21,51,34
2018-01-21,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,21,35,NA
2018-01-21,"West Johnston Co.","Johnston",35.59095,-78.4622,1,21,43,NA
2018-01-22,"Bryson City","Swain",35.434767,-83.442133,1,22,48,NA
2018-01-22,"Castle Hayne","New Hanover",34.364167,-77.838611,1,22,25,NA
2018-01-22,"Clemmons Middle","Forsyth",36.026,-80.342,1,22,58,NA
2018-01-22,"Durham Armory","Durham",36.0329550008979,-78.904037,1,22,59,NA
2018-01-22,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,22,57,37
2018-01-22,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,22,52,NA
2018-01-22,"Leggett","Edgecombe",35.988278,-77.5843,1,22,40,NA
2018-01-22,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,22,51,NA
2018-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,22,59,32
2018-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,22,39,NA
2018-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,22,57,NA
2018-01-23,"Bryson City","Swain",35.434767,-83.442133,1,23,17,NA
2018-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,23,8,NA
2018-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,1,23,25,NA
2018-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,23,18.5,NA
2018-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,23,11,NA
2018-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,23,15.5,36
2018-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,23,20,NA
2018-01-23,"Leggett","Edgecombe",35.988278,-77.5843,1,23,13,NA
2018-01-23,"Linville Falls","Avery",35.972347,-81.933072,1,23,10,NA
2018-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,23,19,NA
2018-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,23,20.5,37
2018-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,23,16,NA
2018-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,23,15,NA
2018-01-24,"Bryson City","Swain",35.434767,-83.442133,1,24,18,NA
2018-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,24,7,NA
2018-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,1,24,16,NA
2018-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,24,26,NA
2018-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,24,22,28
2018-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,24,15,NA
2018-01-24,"Leggett","Edgecombe",35.988278,-77.5843,1,24,3,NA
2018-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,24,13,NA
2018-01-24,"Millbrook School","Wake",35.856111,-78.574167,1,24,20,31
2018-01-24,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,24,9,NA
2018-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,1,24,15,NA
2018-01-25,"Bryson City","Swain",35.434767,-83.442133,1,25,26,NA
2018-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,1,25,13,NA
2018-01-25,"Clemmons Middle","Forsyth",36.026,-80.342,1,25,34,NA
2018-01-25,"Durham Armory","Durham",36.0329550008979,-78.904037,1,25,43,NA
2018-01-25,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,25,30,31
2018-01-25,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,25,34,NA
2018-01-25,"Leggett","Edgecombe",35.988278,-77.5843,1,25,8,NA
2018-01-25,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,25,27,NA
2018-01-25,"Millbrook School","Wake",35.856111,-78.574167,1,25,35,31
2018-01-25,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,25,13,NA
2018-01-25,"West Johnston Co.","Johnston",35.59095,-78.4622,1,25,25,NA
2018-01-26,"Bryson City","Swain",35.434767,-83.442133,1,26,52,NA
2018-01-26,"Castle Hayne","New Hanover",34.364167,-77.838611,1,26,6,NA
2018-01-26,"Clemmons Middle","Forsyth",36.026,-80.342,1,26,58,NA
2018-01-26,"Durham Armory","Durham",36.0329550008979,-78.904037,1,26,46,NA
2018-01-26,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,26,8,NA
2018-01-26,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,26,46,34
2018-01-26,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,26,57.6666666666667,NA
2018-01-26,"Leggett","Edgecombe",35.988278,-77.5843,1,26,16,NA
2018-01-26,"Linville Falls","Avery",35.972347,-81.933072,1,26,18,NA
2018-01-26,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,26,56,NA
2018-01-26,"Millbrook School","Wake",35.856111,-78.574167,1,26,47.5,28
2018-01-26,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,26,21,NA
2018-01-26,"West Johnston Co.","Johnston",35.59095,-78.4622,1,26,35,NA
2018-01-27,"Bryson City","Swain",35.434767,-83.442133,1,27,58,NA
2018-01-27,"Castle Hayne","New Hanover",34.364167,-77.838611,1,27,3,NA
2018-01-27,"Clemmons Middle","Forsyth",36.026,-80.342,1,27,61,NA
2018-01-27,"Durham Armory","Durham",36.0329550008979,-78.904037,1,27,42,NA
2018-01-27,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,27,49,31
2018-01-27,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,27,76,NA
2018-01-27,"Leggett","Edgecombe",35.988278,-77.5843,1,27,18,NA
2018-01-27,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,27,55,NA
2018-01-27,"Millbrook School","Wake",35.856111,-78.574167,1,27,37,37
2018-01-27,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,27,26,NA
2018-01-27,"West Johnston Co.","Johnston",35.59095,-78.4622,1,27,27,NA
2018-01-28,"Bryson City","Swain",35.434767,-83.442133,1,28,28,NA
2018-01-28,"Castle Hayne","New Hanover",34.364167,-77.838611,1,28,0,NA
2018-01-28,"Clemmons Middle","Forsyth",36.026,-80.342,1,28,56,NA
2018-01-28,"Durham Armory","Durham",36.0329550008979,-78.904037,1,28,25,NA
2018-01-28,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,28,43,29
2018-01-28,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,28,46,NA
2018-01-28,"Leggett","Edgecombe",35.988278,-77.5843,1,28,10,NA
2018-01-28,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,28,46,NA
2018-01-28,"Millbrook School","Wake",35.856111,-78.574167,1,28,22,30
2018-01-28,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,28,11,NA
2018-01-28,"West Johnston Co.","Johnston",35.59095,-78.4622,1,28,18,NA
2018-01-29,"Bryson City","Swain",35.434767,-83.442133,1,29,12,NA
2018-01-29,"Castle Hayne","New Hanover",34.364167,-77.838611,1,29,0,NA
2018-01-29,"Clemmons Middle","Forsyth",36.026,-80.342,1,29,18,NA
2018-01-29,"Durham Armory","Durham",36.0329550008979,-78.904037,1,29,12,NA
